de	zh	fr	hi	it	ja	pt	ru	es
postkarte - postcard	明信片 - 明信片	carte postale - carte postale	पोस्टकार्ड - पोस्टकार्ड	cartolina - cartolina	ポストカード - ポストカード	cartão postal - cartão postal	открытка - открытка	postal - postal
briefmarke - stamp	印章-印章	timbre - timbre	मोहर - मोहर	timbro - timbro	スタンプ - スタンプ	carimbo - carimbo	штамп - штамп	sello - sello
umschlag - envelope	信封-信封	enveloppe - enveloppe	लिफाफा - लिफाफा	busta - busta	封筒 - 封筒	envelope - envelope	конверт - конверт	sobre - sobre
paket - package	包-包	paquet - paquet	पैकेज - पैकेज	pacchetto - pacchetto	パッケージ - パッケージ	pacote - pacote	пакет - пакет	paquete - paquete
sendung - shipment	装运-装运	expédition - expédition	शिपमेंट - शिपमेंट	spedizione - spedizione	出荷 - 出荷	remessa - remessa	отгрузка - отгрузка	envío - envío
nachricht - message	消息-消息	message - message	संदेश - संदेश	messaggio - messaggio	メッセージ - メッセージ	mensagem - mensagem	сообщение - сообщение	mensaje - mensaje
mitteilung - message	消息-消息	message - message	संदेश - संदेश	messaggio - messaggio	メッセージ - メッセージ	mensagem - mensagem	сообщение - сообщение	mensaje - mensaje
information - information	信息-信息	informations - informations	जानकारी - जानकारी	informazioni - informazioni	情報 - 情報	informação - informação	информация - информация	información - información
auskunft - information	信息-信息	informations - informations	जानकारी - जानकारी	informazioni - informazioni	情報 - 情報	informação - informação	информация - информация	información - información
wissen - knowledge	知道-知识	savoir - connaissance	जानना - ज्ञान	sapere - conoscenza	知ること - 知識	saber - conhecimento	знать - знание	saber - conocimiento
kenntnis - knowledge	认知-知识	cognition - connaissance	अनुभूति - ज्ञान	cognizione - conoscenza	認知 - 知識	cognição - conhecimento	познание - знание	cognición - conocimiento
bildung - education	教育-教育	éducation - éducation	शिक्षा - शिक्षा	educazione - educazione	教育 - 教育	educação - educação	образование - образование	educación - educación
lehre - teaching	教学-教学	enseignement - enseignement	पढ़ाना - पढ़ाना	insegnamento - insegnamento	教える - 教える	ensino - ensino	преподавание - преподавание	enseñanza - enseñanza
unterricht - lesson	教训-教训	leçons - leçon	सबक - सबक	lezioni - lezione	レッスン - レッスン	lições - lição	уроки - урок	lecciones - lección
stunde - lesson, hour	小时 - 课程、小时	heure - leçon, heure	घंटा - पाठ, घंटा	ora - lezione, ora	時間 - レッスン、時間	hora - aula, hora	час - урок, час	hora - lección, hora
kurs - course	课程-课程	cours - cours	पाठ्यक्रम - पाठ्यक्रम	corso - corso	コース - コース	curso - curso	курс - курс	curso - curso
klasse - class	类-类	classe - classe	वर्ग - वर्ग	classe - classe	クラス - クラス	aula - aula	класс - класс	clase - clase
semester - semester	学期-学期	semestre - semestre	सेमेस्टर - सेमेस्टर	semestre - semestre	学期 - 学期	semestre - semestre	семестр - семестр	semestre - semestre
jahr - year (school)	年-年（学校）	année - année (école)	वर्ष - वर्ष (स्कूल)	anno - anno (scuola)	年 - 年 (学校)	ano - ano (escola)	год - год (школа)	año - año (escuela)
prüfung - exam	考试 - 考试	examen - examen	परीक्षा - परीक्षा	esame - esame	試験 - 試験	exame - exame	экзамен - экзамен	examen - examen
test - test	测试-测试	tester - tester	परीक्षण - परीक्षण	prova - prova	テスト - テスト	teste - teste	тест - тест	prueba - prueba
aufgabe - task	任务-任务	tâche - tâche	कार्य - कार्य	compito - compito	タスク - タスク	tarefa - tarefa	задача - задача	tarea - tarea
übung - exercise	锻炼——锻炼	exercice - exercice	व्यायाम - व्यायाम	esercizio - esercizio	運動 - 運動	exercício - exercício	упражнение - упражнение	ejercicio - ejercicio
hausaufgabe - homework	家庭作业-家庭作业	devoirs - devoirs	होमवर्क - होमवर्क	compiti a casa - compiti a casa	宿題 - 宿題	lição de casa - lição de casa	домашнее задание - домашнее задание	tarea - tarea
lösung - solution	解决方案-解决方案	solution - solution	समाधान - समाधान	soluzione - soluzione	解決策 - 解決策	solução - solução	решение - решение	solución - solución
antwort - answer	答案-答案	réponse - réponse	उत्तर - उत्तर	risposta - risposta	答え - 答え	resposta - resposta	ответ - ответь	respuesta - respuesta
frage - question	问题-问题	question - question	प्रश्न - प्रश्न	domanda - domanda	質問 - 質問	pergunta - pergunta	вопрос - вопрос	pregunta - pregunta
problem - problem	问题-问题	problème - problème	समस्या - समस्या	problema - problema	問題 - 問題	problema - problema	проблема - проблема	problema - problema
schwierigkeit - difficulty	难度-难度	difficulté - difficulté	कठिनाई - कठिनाई	difficoltà - difficoltà	難易度 - 難易度	dificuldade - dificuldade	трудность - трудность	dificultad - dificultad
fehler - mistake	错误——错误	erreur - erreur	त्रुटि - गलती	errore - errore	エラー - 間違い	erro - erro	ошибка - ошибка	error - error
irrtum - error	错误-错误	erreur - erreur	गलती - गलती	errore - errore	間違い - 間違い	erro - erro	ошибка - ошибка	error - error
korrektur - correction	修正-修正	correction - correction	सुधार - सुधार	correzione - correzione	修正 - 修正	correção - correção	исправление - исправление	corrección - corrección
verbesserung - improvement	改进-改进	amélioration - amélioration	सुधार - सुधार	miglioramento - miglioramento	改善 - 改善	melhoria - melhoria	улучшение - улучшение	mejora - mejora
fortschritt - progress	进步-进步	progrès - progrès	प्रगति - प्रगति	progresso - progresso	進歩 - 進歩	progresso - progresso	прогресс - прогресс	progreso - progreso
entwicklung - development	发展-发展	développement - développement	विकास - विकास	sviluppo - sviluppo	開発 - 開発	desenvolvimento - desenvolvimento	развитие - развитие	desarrollo - desarrollo
wachstum - growth	成长-成长	croissance - croissance	विकास - विकास	crescita - crescita	成長 - 成長	crescimento - crescimento	рост - рост	crecimiento - crecimiento
zunahme - increase	增加-增加	augmenter - augmenter	वृद्धि - वृद्धि	aumentare - aumentare	増加 - 増加	aumentar - aumentar	увеличить - увеличить	aumentar - aumentar
abnahme - decrease	减少-减少	diminuer - diminuer	कमी - कमी	diminuire - diminuire	減少 - 減少	diminuir - diminuir	уменьшение - уменьшение	disminuir - disminuir
rückgang - decline	衰落-衰落	déclin - déclin	गिरावट - गिरावट	declino - declino	衰退 - 衰退	declínio - declínio	снижение - снижение	declive - declive
steigerung - increase	增加-增加	augmenter - augmenter	वृद्धि - वृद्धि	aumentare - aumentare	増加 - 増加	aumentar - aumentar	увеличить - увеличить	aumentar - aumentar
senkung - reduction	减少 - 减少	réduction - réduction	कमी - कमी	riduzione - riduzione	削減 - 削減	redução - redução	сокращение - сокращение	reducción - reducción
erhöhung - increase	增加-增加	augmenter - augmenter	वृद्धि - वृद्धि	aumentare - aumentare	増加 - 増加	aumentar - aumentar	увеличить - увеличить	aumentar - aumentar
